.,Number,Week,Date,Top,User,count,online,Log,R8,R1,T,Y
,91,52,27.12.2018,BOF,,7,,,,,,
,92,2,10.01.2019,Spring,Video,7,,,,,,
,93,3,17.01.2019,Spring,Andriy Levchenko,5,,,,,,
,94,4,24.01.2019,Spring,Andriy Levchenko,6,,,,,,
,95,5,31.01.2019,Spring data flow,Video,7,,,,,,
,96,6,07.02.2019,Spring data flow,Ivan Verhun,6,,,,,,
,97,7,14.02.2019,Elasticsearch,Video,5,,,,,,
,98,8,21.02.2019,Elasticsearch,Ivan Verhun,7,,,,,,
,99,9,01.03.2019,Pizza 2.0 / JavaDay Lviv ,,12,,,,,,
,100,10,07.03.2019,Elasticsearch,Roman Kniazevych,5,,,,,,
,101,11,14.03.2019,Istio,Video,5,,,,,,
,102,12,21.03.2019,Istio,Ihor Banadiga,7,,,,,,
,103,13,28.03.2019,Istio,Ihor Banadiga,6,,,,,,
,104,14,04.04.2019,Istio,Ihor Banadiga,9,,,,,,
,105,15,11.04.2019,derive4j,Yuriy Tereschuk,7,,,,,,
,106,16,18.04.2019,derive4j,Yuriy Tereschuk,8,,,,,,
,107,17,25.04.2019,Dagger,Video,5,,,,,,
,108,18,02.05.2019,JeeConf,,4,,,,,,
,109,20,16.05.2019,Dagger,Andriy Levchenko,7,,,,,,
,110,21,23.05.2019,Quarkus,Video,6,,,,,,
,111,22,30.05.2019,Quarkus,Sergii Bishyr,6,,,,,,
,112,23,06.06.2019,JMH,Video,5,,,,,,
,113,24,13.06.2019,JMH,Oleksii Kolka,5,,,,,,
,114,25,20.06.2019,Knative,Video,3,,,,,,
,115,26,27.06.2019,Knative,Sergii Bishyr,5,,,,,,
,116,27,04.07.2019,Knative,Sergii Bishyr,6,,,,,,
,117,28,11.07.2019,Knative,Sergii Bishyr,6,,,,,,
,118,29,18.07.2019,deeplearning4j,Video,6,,,,,,
,119,30,25.07.2019,deeplearning4j,Artem Mosolov,5,,,,,,
,120,31,01.08.2019,keycloak,Video,7,,,,,,
,121,32,08.08.2019,keycloak,Ivan Verhun,5,,,,,,
,122,33,15.08.2019,keycloak,Ivan Verhun,2,,,,,,
,123,34,22.08.2019,picocli,Artem Mosolov,7,,,,,,
,124,36,05.09.2019,profilers,Andriy Levchenko,8,,,,,,
,125,37,12.09.2019,profilers,Ivan Verhun,7,,,,,,
,126,38,19.09.2019,GraalVm,Video,2,,,,,,
,127,39,26.09.2019,GraalVm,Andriy Levchenko,7,,,,,,
,128,40,03.10.2019,JavaDay Odesa + java 13,,4,,,,,,
,129,41,10.10.2019,mutational testing,Video,5,,,,,,
,130,42,17.10.2019,mutational testing,Artem Mosolov,5,,,,,,
,131,43,24.10.2019,Customer-driven contracts,Video,5,,,,,,
,132,44,31.10.2019,Customer-driven contracts,Ivan Verhun,4,,,,,,
,133,45,07.11.2019,DevvoxUa,,4,,,,,,
,134,46,14.11.2019,Traffic Parrot,Ivan Verhun,6,,,,,,
,135,47,21.11.2019,Resilience4j,Video,5,,,,,,
,136,48,28.11.2019,Resilience4j,Ihor Banadiga,5,,,,,,
,137,49,05.12.2019,Spring Cloud,Video,8,,,,,,
,138,50,12.12.2019,Spring Cloud,Oleksandr Bandurka,5,,,,,,
,139,51,19.12.2019,Spring Cloud,Oleksandr Bandurka,4,,,,,,
,140,52,26.12.2019,Pizza,,8,,,,,,
,141,2,09.01.2020,Serverless Framework,Video,6,,,,,,
,142,3,16.01.2020,Serverless Framework,Ivan Verhun,4,,,,,,
,143,4,23.01.2020,Serverless Framework,Ivan Verhun,5,,,,,,
,144,5,30.01.2020,,Video,3,,,,,,
,145,6,06.02.2020,,Sergii Bishyr,4,,,,,,
,146,7,13.02.2020,,,,,,,,,
,147,8,20.02.2020,JavaDay Lviv,Ivan Verhun,6,,,,,,
,148,9,27.02.2020,jOOQ,Video,8,,,,,,
,149,10,05.03.2020,jOOQ,,6,,,,,,
,150,11,12.03.2020,Pizza 3.0,,7,,,,,,
,,,,,,,,,,,,
,151,40,01.10.2020,Java 14,Ihor Banadiga,,7,,,,,
,152,41,08.10.2020,java 15 (preview),Sergii Bishyr,,15,,,,,
,153,42,15.10.2020,Annotation processing,Ivan Verhun,,9,,,,,
,154,43,22.10.2020,Refactoring Patterns,Artem Mosolov,,9,,,,,
,155,44,29.10.2020,Refactoring Patterns,Artem Mosolov,,11,,,,,
,156,45,05.11.2020,Refactoring Patterns,Artem Mosolov,,8,,,,,
,157,46,12.11.2020,Transactional annotation,Ivan Shevtsov,,7,,,,,
,158,47,19.11.2020,Orchestration Saga Pattern,Ivan Shevtsov,,5,,,,,
,159,48,26.11.2020,mapstruct,Roman Kniazevych,,6,,,,,
,160,49,03.12.2020,Github action,Sergii Bishyr,,8,,,,,
,161,50,10.12.2020,camunda,Ivan Shevtsov,,6,,,,,
,162,51,17.12.2020,ArchUnit,Ihor Banadiga,,7,,,,,
,163,52,24.12.2020,Retro,,,5,,,,,
,164,2,14.01.2021,JMH,Ivan Shevtsov,,5,,,,,
,165,3,21.01.2021,Spring Cloud Config,Andriy Levchenko,,8,,,,,
,166,4,28.01.2021,Spring Cloud Config over Discovery,Andriy Levchenko,,9,,,,,
,167,5,04.02.2021,API Gateway,Andriy Levchenko,,8,,,,,
,168,6,11.02.2021,Spring CloudCircuit Breaker.,Andriy Levchenko,,7,,,,,
,169,7,18.02.2021,mock a file system,Jaroslav Mazurak,,8,,,,,
,170,8,25.02.2021,JavaDay Lviv 2021,,,1,,,,,
,171,9,04.03.2021,Debezium,Ivan Shevtsov,,7,,,,,
,172,10,11.03.2021,Blockchain,Ivan Shevtsov,,7,,,,,
,173,11,18.03.2021,Corda,Ivan Shevtsov,,8,,,,,
,174,,,,Ihor Banadiga,,1,,,,,
,175,12,25.03.2021,Java 16,Oleh Melnyk,,15,,,,,
,176,13,01.04.2021,GraphQL Federation,Ihor Banadiga,,7,,,,,
,177,14,08.04.2021,Spring Cloud Contract,Ihor Banadiga,,7,,,,,
,178,15,15.04.2021,Spring Integration,Ivan Shevtsov,,6,,,,,
,179,16,22.04.2021,WebSockets on Spring STOMP,Oleksandr Bandurka,,8,,,,,
,180,17,29.04.2021,Flyway,Ivan Shevtsov,,6,,,,,
,181,18,06.05.2021,OpenTelemetry,Sergii Bishyr,,6,,,,,
,182,19,13.05.2021,IntelliJ IDEA 2021.1,Oleksii Milovskyi,,9,,,,,
,183,20,20.05.2021,Nimbus JOSE,Ivan Shevtsov,,7,,,,,
,184,21,27.05.2021,Mutiny,Ihor Banadiga,,7,,,,,
,185,22,03.06.2021,Quarkus,Alexander Pletnev,,7,,,,,
,186,23,10.06.2021,Hibernate Search,Ivan Shevtsov,,4,,,,,
,187,24,17.06.2021,Immutables,Ihor Banadiga,,6,,,,,
,188,25,24.06.2021,Spring Native,Sergii Bishyr,,7,,,,,
,189,26,01.07.2021,Javalin,Ihor Banadiga,,4,,,,,
,190,27,08.07.2021,Byte Buddy,Ivan Shevtsov,,5,,,,,
,191,28,15.07.2021,Distributed Locks and Single Leader election with Spring Integration,Ihor Banadiga,,5,,,,,
,192,29,22.07.2021,Chaos Engineering,Sergii Bishyr,,5,,,,,
,193,30,29.07.2021,Flogger,Ihor Banadiga,,4,,,,,
,194,31,05.08.2021,Filters in Spring Security,Ivan Shevtsov,,5,,,,,
,195,32,12.08.2021,encryption/decryption,Ivan Shevtsov,,4,,,,,
,196,33,19.08.2021,Burp Suite,Serhii Petrenko,,3,,,,,
,197,34,26.08.2021,OWASP Top 10,Ihor Banadiga,,7,,,,,
,198,35,02.09.2021,RSocket,Sergii Bishyr,,6,,,,,
,199,36,09.09.2021,Reactive Relational Database Connectivity (R2DBC),Jaroslav Mazurak,,4,,,,,
,200,37,16.09.2021,java 17,Oleh Melnyk,,7,,,,,
,201,38,23.09.2021,Offline event,,6,,,,,,
,202,39,30.09.2021,JBehave,Ihor Banadiga,,5,,,,,
,203,40,07.10.2021,Flowable,Jaroslav Mazurak,,6,,,,,
,204,42,21.10.2021,Spring Authorization Server,Serhii Petrenko,,7,,,,,
,205,43,28.10.2021,GIT,Ivan Verhun,,8,,,,,
,206,44,04.11.2021,JobRunr,Oleh Melnyk,,9,,,,,
,207,45,11.11.2021,Apache NiFi,Ihor Didyk ,,9,,,,,
,208,46,18.11.2021,Feign Annotation Contract,Ivan Shevtsov,,6,,,,,
,209,47,25.11.2021,Telepresence,Roman Kniazevych,,7,,,,,
,210,48,02.12.2021,Pact,Serhii Petrenko,,6,,,,,
,211,49,09.12.2021,Failsafe,Sergii Bishyr,,8,,,,,
,212,50,16.12.2021,Spring Data JDBC,Ivan Shevtsov,,10,,,,,
,213,51,23.12.2021,Big data tools on aws,Yuriy Stakhniak,,11,,,,,
,214,52,30.12.2021,end of 2021,Ihor Banadiga,,8,,,,,
,215,2,13.01.2022,Log4Shell,Jaroslav Mazurak,,11,,,,,
,216,3,20.01.2022,Object Audit and Diff with JaVers,Ivan Shevtsov,,7,,,,,
,217,4,27.01.2022,Spring Boot Micrometer and Actuator,Oleh Melnyk,,15,,,,,
,218,5,03.02.2022,jdbi,Ivan Shevtsov,,8,,,,,
,219,6,10.02.2022,Spring REST Docs,Oleksii Milovskyi,,13,,,,,
,220,7,17.02.2022,Authn and Authz in Spring Security,Andriy Riy,,18,,,,,
,,,,,,,,,,,,
,221,18,05.05.2022,Тривога,,,14,,,,,
,221,19,12.05.2022,Java 18,Oleh Melnyk,,17,,,,,
,222,20,19.05.2022,докеру і AWS ECS,Yuriy Stakhniak,,15,,,,,
,223,21,26.05.2022,keyclaok,Ihor Didyk ,,12,,,,,
,224,22,02.06.2022,Lucidchart,Oleksii Milovskyi,,15,,,,,
,225,23,09.06.2022,event schema,Ivan Shevtsov,,14,,,,,
,226,23,10.06.2022,Offline event,,5,,,,,,
,227,24,16.06.2022,h2o,Andriy Riy,,18,,,,,
,228,25,23.06.2022,Caffeine + Ehcache,Jaroslav Mazurak,,14,,,,,
,229,26,30.06.2022,Spring for GraphQL,Serhii Petrenko,,12,,,,,
,230,27,07.07.2022,Tools overview,Ivan Verhun,,25,,,,,
,,28,14.07.2022,liquebase,Roman Kniazevych,,8,,,,,
,231,29,21.07.2022,liquebase,Roman Kniazevych,,8,,,,,
,232,30,28.07.2022,virsh(libvirt),Yuriy Tereshchuk,,7,,,,,
,233,31,04.08.2022,virsh(libvirt) part 2,Yuriy Tereshchuk,,8,,,,,
,234,32,11.08.2022,10m virtual threads,Ihor Banadiga,,8,,,,,
,235,33,18.08.2022,Spock,Oleksandr Belinskyi ,,10,,,,,
,236,34,25.08.2022,Kubebuilder,Sergii Bishyr,,9,,,,,
,237,35,01.09.2022,Regular expressions,Maks Chornyi,,15,,,,,
,238,36,08.09.2022,Offline event,,2,,,,,,
,239,37,15.09.2022,Reactive Systems In Java,Michael Kami,,11,,,,,
,240,38,22.09.2022,java,Oleh Melnyk,,17,,,,,
,241,39,29.09.2022,Awaitility,Jaroslav Mazurak,,11,,,,,
,242,40,06.10.2022,Data schema evolution,Ivan Shevtsov,,11,,,,,
,243,41,13.10.2022,argoCD,Ivan Shevtsov,,9,,,,,
,244,42,20.10.2022,JetBrains Fleet,Ihor Didyk ,,12,,,,,
,245,43,27.10.2022,Publishing a Maven artifact to Github Packages,Serhii Petrenko,,6,,,,,
,246,44,03.11.2022,Managing VMs with virsh. libvirt,Yuriy Tereshchuk,,8,,,,,
,247,45,10.11.2022,AWS CloudFormation,Yuriy Stakhniak,,10,,,,,
,248,46,17.11.2022,google tink,Jaroslav Mazurak,,6,,,,,
,249,47,24.11.2022,spring boot 3,Oleh Melnyk,,17,,,,,
,250,48,01.12.2022,Offline event,,2,,,,,,
,251,49,08.12.2022,Testing in Reactive Systems,Michael Kami,,5,,,,,
,252,50,15.12.2022,Amazon Cognito,Dmytro Khonko,,9,,,,,
